{'loss': [0.49368196725845337], 'acc': [0.8106178641319275], 'val_loss': [0.5083742737770081], 'val_acc': [0.7693349719047546]}
{'loss': [0.40821823477745056], 'acc': [0.8307899236679077], 'val_loss': [0.49525773525238037], 'val_acc': [0.7792156338691711]}
{'loss': [0.36462098360061646], 'acc': [0.8451567888259888], 'val_loss': [0.5323939323425293], 'val_acc': [0.7809389233589172]}
{'loss': [0.33451545238494873], 'acc': [0.8659026026725769], 'val_loss': [0.8337518572807312], 'val_acc': [0.7210786938667297]}
{'loss': [0.31569552421569824], 'acc': [0.877673864364624], 'val_loss': [0.6563591957092285], 'val_acc': [0.7456990480422974]}
{'loss': [0.2907730042934418], 'acc': [0.8893738985061646], 'val_loss': [0.7382418513298035], 'val_acc': [0.751811683177948]}
{'loss': [0.29037797451019287], 'acc': [0.8915948867797852], 'val_loss': [0.5430160164833069], 'val_acc': [0.7804429531097412]}
{'loss': [0.2676461935043335], 'acc': [0.9001314043998718], 'val_loss': [0.6689534783363342], 'val_acc': [0.7676616311073303]}
{'loss': [0.24579210579395294], 'acc': [0.9093074798583984], 'val_loss': [0.7280105352401733], 'val_acc': [0.7613550424575806]}
{'loss': [0.2406640201807022], 'acc': [0.9109526872634888], 'val_loss': [0.6681355834007263], 'val_acc': [0.7703109979629517]}
{'loss': [0.2929656505584717], 'acc': [0.891044557094574], 'val_loss': [0.7523507475852966], 'val_acc': [0.7265650629997253]}
{'loss': [0.2723917067050934], 'acc': [0.8965010643005371], 'val_loss': [0.630748450756073], 'val_acc': [0.7865408658981323]}
{'loss': [0.21840731799602509], 'acc': [0.919454038143158], 'val_loss': [0.7090985774993896], 'val_acc': [0.7760145664215088]}
{'loss': [0.21329262852668762], 'acc': [0.9211032390594482], 'val_loss': [0.6257948279380798], 'val_acc': [0.7940101027488708]}
{'loss': [0.23906464874744415], 'acc': [0.9107171893119812], 'val_loss': [0.7379797697067261], 'val_acc': [0.7597978711128235]}
{'loss': [0.23580314218997955], 'acc': [0.9121090173721313], 'val_loss': [0.713205099105835], 'val_acc': [0.7677379250526428]}
{'loss': [0.20061704516410828], 'acc': [0.9259434342384338], 'val_loss': [0.686231255531311], 'val_acc': [0.7825708985328674]}
{'loss': [0.19587993621826172], 'acc': [0.9273443818092346], 'val_loss': [0.6457139849662781], 'val_acc': [0.7975564002990723]}
{'loss': [0.1858115941286087], 'acc': [0.9315133094787598], 'val_loss': [0.7017757892608643], 'val_acc': [0.7800841331481934]}
{'loss': [0.2053803652524948], 'acc': [0.9234266877174377], 'val_loss': [0.5922534465789795], 'val_acc': [0.8063371777534485]}
{'loss': [0.1837003529071808], 'acc': [0.9315454363822937], 'val_loss': [0.7504658102989197], 'val_acc': [0.7752672433853149]}
{'loss': [0.17693570256233215], 'acc': [0.9343012571334839], 'val_loss': [0.735534131526947], 'val_acc': [0.7618322372436523]}
{'loss': [0.1748017966747284], 'acc': [0.9360703825950623], 'val_loss': [0.6903117895126343], 'val_acc': [0.7787495851516724]}
