{'loss': [1.0057960748672485], 'acc': [0.593224287033081], 'val_loss': [38.905364990234375], 'val_acc': [0.5600931644439697]}
{'loss': [0.7806708216667175], 'acc': [0.6735549569129944], 'val_loss': [2.604187250137329], 'val_acc': [0.6095349192619324]}
{'loss': [0.6751791834831238], 'acc': [0.716072142124176], 'val_loss': [1.3908195495605469], 'val_acc': [0.5763130784034729]}
{'loss': [0.6185122132301331], 'acc': [0.7412139177322388], 'val_loss': [1.911881923675537], 'val_acc': [0.6394801735877991]}
{'loss': [0.5737482905387878], 'acc': [0.7608135938644409], 'val_loss': [2.0758540630340576], 'val_acc': [0.6681090593338013]}
{'loss': [0.5495262145996094], 'acc': [0.7768278121948242], 'val_loss': [0.9001791477203369], 'val_acc': [0.6546220183372498]}
{'loss': [0.511076807975769], 'acc': [0.7936708927154541], 'val_loss': [0.9915866851806641], 'val_acc': [0.6265769600868225]}
{'loss': [0.4885132610797882], 'acc': [0.8045942783355713], 'val_loss': [2.519239902496338], 'val_acc': [0.6847645044326782]}
{'loss': [0.47331228852272034], 'acc': [0.8116688132286072], 'val_loss': [1.767661690711975], 'val_acc': [0.6602456569671631]}
{'loss': [0.44505375623703003], 'acc': [0.8249968886375427], 'val_loss': [0.8785993456840515], 'val_acc': [0.6857544779777527]}
{'loss': [0.45138832926750183], 'acc': [0.8221341371536255], 'val_loss': [0.9696000218391418], 'val_acc': [0.6731318235397339]}
{'loss': [0.42335304617881775], 'acc': [0.8346455097198486], 'val_loss': [0.7514376640319824], 'val_acc': [0.6901277899742126]}
{'loss': [0.4125286042690277], 'acc': [0.8385247588157654], 'val_loss': [0.7958338260650635], 'val_acc': [0.668774425983429]}
{'loss': [0.40499719977378845], 'acc': [0.8423557877540588], 'val_loss': [1.1303924322128296], 'val_acc': [0.672944188117981]}
{'loss': [0.3846282362937927], 'acc': [0.8506883382797241], 'val_loss': [0.7542554140090942], 'val_acc': [0.6830559372901917]}
{'loss': [0.37225574254989624], 'acc': [0.8555459380149841], 'val_loss': [1.0378878116607666], 'val_acc': [0.6721229553222656]}
{'loss': [0.37163281440734863], 'acc': [0.8556059002876282], 'val_loss': [0.9525820016860962], 'val_acc': [0.6623955368995667]}
{'loss': [0.36747467517852783], 'acc': [0.8573971390724182], 'val_loss': [1.1307616233825684], 'val_acc': [0.6583922505378723]}
{'loss': [0.342441201210022], 'acc': [0.8680198192596436], 'val_loss': [0.8374865651130676], 'val_acc': [0.7078569531440735]}
{'loss': [0.33950117230415344], 'acc': [0.868915319442749], 'val_loss': [1.0229929685592651], 'val_acc': [0.668763279914856]}
{'loss': [0.3410872519016266], 'acc': [0.8685560822486877], 'val_loss': [0.9249703884124756], 'val_acc': [0.6599295735359192]}
{'loss': [0.3303217589855194], 'acc': [0.8734994530677795], 'val_loss': [0.8792226314544678], 'val_acc': [0.6844645142555237]}
{'loss': [0.3130418062210083], 'acc': [0.8805244565010071], 'val_loss': [1.0136233568191528], 'val_acc': [0.6247934103012085]}
{'loss': [0.32368889451026917], 'acc': [0.8764421343803406], 'val_loss': [1.068922758102417], 'val_acc': [0.6578651666641235]}
{'loss': [0.31553539633750916], 'acc': [0.8796361684799194], 'val_loss': [0.926697313785553], 'val_acc': [0.679096519947052]}
{'loss': [0.31285563111305237], 'acc': [0.8799628019332886], 'val_loss': [1.261596441268921], 'val_acc': [0.6634840965270996]}
{'loss': [0.30425387620925903], 'acc': [0.8842292428016663], 'val_loss': [1.058739185333252], 'val_acc': [0.6710414290428162]}
{'loss': [0.29668307304382324], 'acc': [0.8874123692512512], 'val_loss': [1.009019136428833], 'val_acc': [0.6386971473693848]}
{'loss': [0.29104357957839966], 'acc': [0.8894825577735901], 'val_loss': [0.8964118361473083], 'val_acc': [0.680976390838623]}
{'loss': [0.2798992395401001], 'acc': [0.8940489292144775], 'val_loss': [0.9984238743782043], 'val_acc': [0.6780678629875183]}
