{'loss': [0.8206630945205688], 'acc': [0.6392098665237427], 'val_loss': [0.7302151322364807], 'val_acc': [0.6935505270957947]}
{'loss': [0.5597729682922363], 'acc': [0.761864423751831], 'val_loss': [0.8407424688339233], 'val_acc': [0.6653910279273987]}
{'loss': [0.44623735547065735], 'acc': [0.8181909918785095], 'val_loss': [0.9307727217674255], 'val_acc': [0.6697840094566345]}
{'loss': [0.3689046800136566], 'acc': [0.8532515168190002], 'val_loss': [1.3077725172042847], 'val_acc': [0.5946284532546997]}
{'loss': [0.3147694766521454], 'acc': [0.8771226406097412], 'val_loss': [1.2136110067367554], 'val_acc': [0.6343809366226196]}
{'loss': [0.26861250400543213], 'acc': [0.896200954914093], 'val_loss': [1.4098140001296997], 'val_acc': [0.6121781468391418]}
{'loss': [0.2336438149213791], 'acc': [0.9115514159202576], 'val_loss': [1.3734973669052124], 'val_acc': [0.6466704607009888]}
{'loss': [0.20796020328998566], 'acc': [0.9218752980232239], 'val_loss': [1.3988301753997803], 'val_acc': [0.6442446112632751]}
{'loss': [0.18838709592819214], 'acc': [0.9299606680870056], 'val_loss': [1.5889874696731567], 'val_acc': [0.6253925561904907]}
{'loss': [0.1854521930217743], 'acc': [0.9315746426582336], 'val_loss': [1.5560541152954102], 'val_acc': [0.6392843127250671]}
