{'loss': [0.5325256586074829], 'acc': [0.7620952725410461], 'val_loss': [0.4971771538257599], 'val_acc': [0.7332793474197388]}
{'loss': [0.49521976709365845], 'acc': [0.7773540019989014], 'val_loss': [0.4620624780654907], 'val_acc': [0.7718647718429565]}
{'loss': [0.4857717752456665], 'acc': [0.7805243134498596], 'val_loss': [0.4677591621875763], 'val_acc': [0.7899240851402283]}
{'loss': [0.46538108587265015], 'acc': [0.7944430708885193], 'val_loss': [0.5167707800865173], 'val_acc': [0.7230790853500366]}
{'loss': [0.4595903158187866], 'acc': [0.7935758829116821], 'val_loss': [0.40224024653434753], 'val_acc': [0.8647920489311218]}
{'loss': [0.45028913021087646], 'acc': [0.8019387722015381], 'val_loss': [0.48480889201164246], 'val_acc': [0.8178778290748596]}
{'loss': [0.44992542266845703], 'acc': [0.800116777420044], 'val_loss': [0.5512813329696655], 'val_acc': [0.7552061676979065]}
{'loss': [0.4446292519569397], 'acc': [0.8041237592697144], 'val_loss': [0.4852677285671234], 'val_acc': [0.7898709177970886]}
{'loss': [0.4339875280857086], 'acc': [0.8055835962295532], 'val_loss': [0.43277060985565186], 'val_acc': [0.8618785738945007]}
{'loss': [0.4408244490623474], 'acc': [0.8021413087844849], 'val_loss': [0.5552743673324585], 'val_acc': [0.8318238854408264]}
{'loss': [0.44331640005111694], 'acc': [0.8057104349136353], 'val_loss': [0.652718722820282], 'val_acc': [0.6668784618377686]}
{'loss': [0.4519864022731781], 'acc': [0.7995184659957886], 'val_loss': [0.6905005574226379], 'val_acc': [0.6730828285217285]}
{'loss': [0.44919517636299133], 'acc': [0.7989406585693359], 'val_loss': [0.4867222309112549], 'val_acc': [0.8631937503814697]}
{'loss': [0.45811495184898376], 'acc': [0.8007482886314392], 'val_loss': [0.4327653646469116], 'val_acc': [0.8925275206565857]}
{'loss': [0.43646880984306335], 'acc': [0.8036043643951416], 'val_loss': [0.36825820803642273], 'val_acc': [0.8945088982582092]}
{'loss': [0.42612749338150024], 'acc': [0.8081105947494507], 'val_loss': [0.8710801005363464], 'val_acc': [0.6225249171257019]}
{'loss': [0.4608253836631775], 'acc': [0.7979389429092407], 'val_loss': [0.6596925854682922], 'val_acc': [0.6928831934928894]}
{'loss': [0.4304281175136566], 'acc': [0.8027929067611694], 'val_loss': [0.5118028521537781], 'val_acc': [0.8096556663513184]}
{'loss': [0.43005040287971497], 'acc': [0.8021326661109924], 'val_loss': [0.7841827273368835], 'val_acc': [0.6321722865104675]}
{'loss': [0.45273587107658386], 'acc': [0.797007143497467], 'val_loss': [0.4203791320323944], 'val_acc': [0.8646658658981323]}
{'loss': [0.4182702898979187], 'acc': [0.8077716827392578], 'val_loss': [0.49395647644996643], 'val_acc': [0.7998911738395691]}
{'loss': [0.41119375824928284], 'acc': [0.8110957741737366], 'val_loss': [0.4125412404537201], 'val_acc': [0.8620693683624268]}
{'loss': [0.44471365213394165], 'acc': [0.8038639426231384], 'val_loss': [0.5987547039985657], 'val_acc': [0.6836909055709839]}
{'loss': [0.434857577085495], 'acc': [0.8028883337974548], 'val_loss': [0.5272006392478943], 'val_acc': [0.7679885029792786]}
{'loss': [0.4270540177822113], 'acc': [0.8072802424430847], 'val_loss': [0.4450490176677704], 'val_acc': [0.8495458960533142]}
{'loss': [0.4574321508407593], 'acc': [0.7959494590759277], 'val_loss': [0.5440210103988647], 'val_acc': [0.7226924300193787]}
{'loss': [0.43109384179115295], 'acc': [0.8043583035469055], 'val_loss': [0.5396556258201599], 'val_acc': [0.772878110408783]}
{'loss': [0.4434906840324402], 'acc': [0.804733157157898], 'val_loss': [0.5265219807624817], 'val_acc': [0.6913149952888489]}
{'loss': [0.42284730076789856], 'acc': [0.8071118593215942], 'val_loss': [0.5832880735397339], 'val_acc': [0.7245001792907715]}
{'loss': [0.4379572868347168], 'acc': [0.8044430613517761], 'val_loss': [0.7648159265518188], 'val_acc': [0.700431227684021]}
{'loss': [0.4026017189025879], 'acc': [0.8166911005973816], 'val_loss': [0.6919620633125305], 'val_acc': [0.6306144595146179]}
{'loss': [0.43499329686164856], 'acc': [0.8087544441223145], 'val_loss': [0.4768199920654297], 'val_acc': [0.8222974538803101]}
{'loss': [0.4339878559112549], 'acc': [0.8054807782173157], 'val_loss': [0.44569286704063416], 'val_acc': [0.8374802470207214]}
{'loss': [0.41437530517578125], 'acc': [0.8123677968978882], 'val_loss': [0.48795798420906067], 'val_acc': [0.7514052391052246]}
{'loss': [0.4222516119480133], 'acc': [0.811161994934082], 'val_loss': [0.5144646167755127], 'val_acc': [0.7751669883728027]}
{'loss': [0.4225497245788574], 'acc': [0.8078279495239258], 'val_loss': [0.8981707096099854], 'val_acc': [0.6319504976272583]}
{'loss': [0.4372801184654236], 'acc': [0.8021981120109558], 'val_loss': [0.49673131108283997], 'val_acc': [0.777284562587738]}
{'loss': [0.4256035089492798], 'acc': [0.8137072920799255], 'val_loss': [0.5763930678367615], 'val_acc': [0.7263522744178772]}
{'loss': [0.4315709173679352], 'acc': [0.8070864081382751], 'val_loss': [0.677827000617981], 'val_acc': [0.6672300696372986]}
{'loss': [0.4245001971721649], 'acc': [0.807735025882721], 'val_loss': [0.4634791910648346], 'val_acc': [0.8095235824584961]}
