{'loss': [0.8394805788993835], 'acc': [0.6410930752754211], 'val_loss': [0.7517268657684326], 'val_acc': [0.6689638495445251]}
{'loss': [0.6003028154373169], 'acc': [0.7472354173660278], 'val_loss': [0.7190430164337158], 'val_acc': [0.6783052682876587]}
{'loss': [0.4980316162109375], 'acc': [0.7941375970840454], 'val_loss': [0.714734673500061], 'val_acc': [0.6998818516731262]}
{'loss': [0.4249323010444641], 'acc': [0.8276348114013672], 'val_loss': [0.8688069581985474], 'val_acc': [0.6766724586486816]}
{'loss': [0.37243685126304626], 'acc': [0.8517009615898132], 'val_loss': [0.8277344703674316], 'val_acc': [0.7020117044448853]}
{'loss': [0.3342549204826355], 'acc': [0.8688186407089233], 'val_loss': [0.8579176068305969], 'val_acc': [0.6877245903015137]}
{'loss': [0.29977837204933167], 'acc': [0.8836676478385925], 'val_loss': [0.9470014572143555], 'val_acc': [0.6845800280570984]}
{'loss': [0.2722521126270294], 'acc': [0.8957440257072449], 'val_loss': [1.009879231452942], 'val_acc': [0.6948873400688171]}
{'loss': [0.2474631369113922], 'acc': [0.9061563611030579], 'val_loss': [1.0678790807724], 'val_acc': [0.6768814921379089]}
{'loss': [0.22819851338863373], 'acc': [0.9141732454299927], 'val_loss': [1.3116601705551147], 'val_acc': [0.6454865336418152]}
