{'loss': [0.9200051426887512], 'acc': [0.6026297807693481], 'val_loss': [0.7949528098106384], 'val_acc': [0.6410939693450928]}
{'loss': [0.6195945143699646], 'acc': [0.7330243587493896], 'val_loss': [0.9535449147224426], 'val_acc': [0.6295153498649597]}
{'loss': [0.4821625351905823], 'acc': [0.8018226027488708], 'val_loss': [1.1216145753860474], 'val_acc': [0.6087985634803772]}
{'loss': [0.3801383674144745], 'acc': [0.8493511080741882], 'val_loss': [0.9676052927970886], 'val_acc': [0.6765329837799072]}
{'loss': [0.3133947253227234], 'acc': [0.8782206773757935], 'val_loss': [1.091853141784668], 'val_acc': [0.6687915325164795]}
{'loss': [0.2673652172088623], 'acc': [0.8976773619651794], 'val_loss': [1.1974334716796875], 'val_acc': [0.6490716338157654]}
{'loss': [0.2329156994819641], 'acc': [0.9118145704269409], 'val_loss': [1.2666188478469849], 'val_acc': [0.6644437909126282]}
{'loss': [0.20598576962947845], 'acc': [0.9225159287452698], 'val_loss': [1.251957893371582], 'val_acc': [0.6835185885429382]}
{'loss': [0.18558438122272491], 'acc': [0.9312722682952881], 'val_loss': [1.271079659461975], 'val_acc': [0.6793078184127808]}
{'loss': [0.16724853217601776], 'acc': [0.9381295442581177], 'val_loss': [1.4931437969207764], 'val_acc': [0.6615168452262878]}
{'loss': [0.15167662501335144], 'acc': [0.9444469809532166], 'val_loss': [1.447353482246399], 'val_acc': [0.6673119068145752]}
{'loss': [0.13895079493522644], 'acc': [0.9498887658119202], 'val_loss': [1.4728615283966064], 'val_acc': [0.6593226194381714]}
{'loss': [0.1294260174036026], 'acc': [0.9531700015068054], 'val_loss': [1.5469467639923096], 'val_acc': [0.6602604389190674]}
{'loss': [0.11911756545305252], 'acc': [0.9566980600357056], 'val_loss': [1.758144497871399], 'val_acc': [0.6421532034873962]}
{'loss': [0.11056872457265854], 'acc': [0.9601481556892395], 'val_loss': [1.5677605867385864], 'val_acc': [0.6728391647338867]}
