{'loss': [0.7876665592193604], 'acc': [0.6875331997871399], 'val_loss': [0.7727927565574646], 'val_acc': [0.6455289125442505]}
{'loss': [0.5774585008621216], 'acc': [0.7660753726959229], 'val_loss': [1.0101518630981445], 'val_acc': [0.6607122421264648]}
{'loss': [0.4764491617679596], 'acc': [0.8130499124526978], 'val_loss': [1.1408125162124634], 'val_acc': [0.6303818225860596]}
{'loss': [0.4053347110748291], 'acc': [0.8430734872817993], 'val_loss': [15.783150672912598], 'val_acc': [0.6385971307754517]}
{'loss': [0.3522399067878723], 'acc': [0.8651001453399658], 'val_loss': [2.163334846496582], 'val_acc': [0.6453819870948792]}
{'loss': [0.30574074387550354], 'acc': [0.8843773603439331], 'val_loss': [1.58054518699646], 'val_acc': [0.6516242027282715]}
{'loss': [0.2695083022117615], 'acc': [0.8987371921539307], 'val_loss': [3.137951135635376], 'val_acc': [0.6406534910202026]}
{'loss': [0.23547247052192688], 'acc': [0.9118615388870239], 'val_loss': [1.7081178426742554], 'val_acc': [0.6759607791900635]}
{'loss': [0.22778625786304474], 'acc': [0.916073203086853], 'val_loss': [2.8283371925354004], 'val_acc': [0.6420985460281372]}
{'loss': [0.19832704961299896], 'acc': [0.9272038340568542], 'val_loss': [6.708906173706055], 'val_acc': [0.6411318182945251]}
{'loss': [0.1835317760705948], 'acc': [0.933465301990509], 'val_loss': [1.8974238634109497], 'val_acc': [0.6617078185081482]}
{'loss': [0.16143278777599335], 'acc': [0.94145667552948], 'val_loss': [1.9786429405212402], 'val_acc': [0.6424901485443115]}
{'loss': [0.14655685424804688], 'acc': [0.9466122984886169], 'val_loss': [1.3876137733459473], 'val_acc': [0.6509362459182739]}
{'loss': [0.147146537899971], 'acc': [0.9468382596969604], 'val_loss': [1.5500938892364502], 'val_acc': [0.6642051339149475]}
{'loss': [0.13481704890727997], 'acc': [0.951714813709259], 'val_loss': [1.3910365104675293], 'val_acc': [0.6800615787506104]}
{'loss': [0.10977860540151596], 'acc': [0.9604783058166504], 'val_loss': [1.4020781517028809], 'val_acc': [0.6785440444946289]}
{'loss': [0.11302343755960464], 'acc': [0.9595740437507629], 'val_loss': [1.524487018585205], 'val_acc': [0.6686272621154785]}
{'loss': [0.20706893503665924], 'acc': [0.9285091161727905], 'val_loss': [1.1761791706085205], 'val_acc': [0.6753135919570923]}
{'loss': [0.10401435941457748], 'acc': [0.9629477858543396], 'val_loss': [1.6644258499145508], 'val_acc': [0.6739097833633423]}
{'loss': [0.09309470653533936], 'acc': [0.9667516946792603], 'val_loss': [1.6054273843765259], 'val_acc': [0.6613008975982666]}
{'loss': [0.10844442993402481], 'acc': [0.9614420533180237], 'val_loss': [1.5165388584136963], 'val_acc': [0.6453384757041931]}
{'loss': [0.08517342060804367], 'acc': [0.969566285610199], 'val_loss': [1.5133006572723389], 'val_acc': [0.6754194498062134]}
{'loss': [0.07788266241550446], 'acc': [0.9720989465713501], 'val_loss': [1.5810600519180298], 'val_acc': [0.6761668920516968]}
{'loss': [0.0849621370434761], 'acc': [0.9703219532966614], 'val_loss': [1.5602390766143799], 'val_acc': [0.6683827042579651]}
{'loss': [0.07165435701608658], 'acc': [0.9749658107757568], 'val_loss': [1.7692718505859375], 'val_acc': [0.6561070084571838]}
{'loss': [0.07111410796642303], 'acc': [0.9750140905380249], 'val_loss': [1.8705945014953613], 'val_acc': [0.6283323764801025]}
{'loss': [0.10561008751392365], 'acc': [0.964576244354248], 'val_loss': [1.6879810094833374], 'val_acc': [0.6602444052696228]}
{'loss': [0.057404063642024994], 'acc': [0.9798957705497742], 'val_loss': [1.8811619281768799], 'val_acc': [0.6567243933677673]}
{'loss': [0.06025809049606323], 'acc': [0.978945255279541], 'val_loss': [1.6328303813934326], 'val_acc': [0.6791900396347046]}
{'loss': [0.06007932126522064], 'acc': [0.979105532169342], 'val_loss': [1.882361650466919], 'val_acc': [0.6486911773681641]}
