{'loss': [1.089654803276062], 'acc': [0.5456897020339966], 'val_loss': [0.9424901604652405], 'val_acc': [0.5776204466819763]}
{'loss': [0.9208333492279053], 'acc': [0.6141138076782227], 'val_loss': [0.8805221319198608], 'val_acc': [0.599109411239624]}
{'loss': [0.8393988013267517], 'acc': [0.6444982886314392], 'val_loss': [0.8073373436927795], 'val_acc': [0.624038577079773]}
{'loss': [0.7999054789543152], 'acc': [0.6598349809646606], 'val_loss': [0.8501911759376526], 'val_acc': [0.6083738803863525]}
{'loss': [0.7574657797813416], 'acc': [0.6786455512046814], 'val_loss': [0.849571168422699], 'val_acc': [0.6092045307159424]}
{'loss': [0.7350428104400635], 'acc': [0.6881881356239319], 'val_loss': [0.8253127336502075], 'val_acc': [0.6203489899635315]}
{'loss': [0.6993285417556763], 'acc': [0.7038713097572327], 'val_loss': [0.7777835130691528], 'val_acc': [0.6352879405021667]}
{'loss': [0.6843382716178894], 'acc': [0.7119196653366089], 'val_loss': [0.8410493731498718], 'val_acc': [0.6179324388504028]}
{'loss': [0.6617816090583801], 'acc': [0.7217047810554504], 'val_loss': [0.8048037886619568], 'val_acc': [0.6451349854469299]}
{'loss': [0.6385878324508667], 'acc': [0.7321040034294128], 'val_loss': [0.8239995837211609], 'val_acc': [0.6257199645042419]}
{'loss': [0.6298463940620422], 'acc': [0.7358220219612122], 'val_loss': [0.8084248900413513], 'val_acc': [0.637890636920929]}
{'loss': [0.6077799797058105], 'acc': [0.746997594833374], 'val_loss': [0.8929857611656189], 'val_acc': [0.6230993270874023]}
{'loss': [0.6555337309837341], 'acc': [0.7228574752807617], 'val_loss': [0.8088023662567139], 'val_acc': [0.6410361528396606]}
{'loss': [0.5729833245277405], 'acc': [0.7623049020767212], 'val_loss': [0.9269365072250366], 'val_acc': [0.607666552066803]}
{'loss': [0.566175103187561], 'acc': [0.7656645178794861], 'val_loss': [0.8031532764434814], 'val_acc': [0.6409376859664917]}
{'loss': [0.5439123511314392], 'acc': [0.7748816013336182], 'val_loss': [0.8249191045761108], 'val_acc': [0.6307644844055176]}
{'loss': [0.542387843132019], 'acc': [0.7748647928237915], 'val_loss': [0.8385328650474548], 'val_acc': [0.6381062269210815]}
{'loss': [0.5513100624084473], 'acc': [0.771747350692749], 'val_loss': [0.9173858761787415], 'val_acc': [0.6249580383300781]}
{'loss': [0.5733749866485596], 'acc': [0.7618666887283325], 'val_loss': [0.8412160277366638], 'val_acc': [0.6187777519226074]}
{'loss': [0.5668245553970337], 'acc': [0.7629565596580505], 'val_loss': [0.7951967120170593], 'val_acc': [0.6532999277114868]}
{'loss': [0.4967004954814911], 'acc': [0.7951815128326416], 'val_loss': [0.8390182256698608], 'val_acc': [0.6447209715843201]}
