{'loss': [0.9425213932991028], 'acc': [0.5832481384277344], 'val_loss': [0.70965576171875], 'val_acc': [0.6824201345443726]}
{'loss': [0.6596809029579163], 'acc': [0.7194860577583313], 'val_loss': [0.6605496406555176], 'val_acc': [0.710002601146698]}
{'loss': [0.5386360287666321], 'acc': [0.7820714712142944], 'val_loss': [0.7760305404663086], 'val_acc': [0.6965702176094055]}
{'loss': [0.45344793796539307], 'acc': [0.8223809599876404], 'val_loss': [1.1815305948257446], 'val_acc': [0.612064778804779]}
{'loss': [0.39104998111724854], 'acc': [0.8500252962112427], 'val_loss': [1.017156720161438], 'val_acc': [0.6632049083709717]}
{'loss': [0.34277069568634033], 'acc': [0.871877908706665], 'val_loss': [1.2190858125686646], 'val_acc': [0.6684960126876831]}
{'loss': [0.30584636330604553], 'acc': [0.8876210451126099], 'val_loss': [1.3348357677459717], 'val_acc': [0.6770390272140503]}
{'loss': [0.2790891230106354], 'acc': [0.8989266157150269], 'val_loss': [1.2136025428771973], 'val_acc': [0.6706750988960266]}
{'loss': [0.2551725506782532], 'acc': [0.9092453718185425], 'val_loss': [1.4258027076721191], 'val_acc': [0.6527910232543945]}
{'loss': [0.23626676201820374], 'acc': [0.9174630641937256], 'val_loss': [1.4836516380310059], 'val_acc': [0.6650727987289429]}
{'loss': [0.21957284212112427], 'acc': [0.924410343170166], 'val_loss': [1.660133719444275], 'val_acc': [0.6476993560791016]}
{'loss': [0.20692835748195648], 'acc': [0.9296748042106628], 'val_loss': [1.5315974950790405], 'val_acc': [0.660633385181427]}
{'loss': [0.19486217200756073], 'acc': [0.9341541528701782], 'val_loss': [1.7561014890670776], 'val_acc': [0.6527310609817505]}
{'loss': [0.1833883672952652], 'acc': [0.9390596151351929], 'val_loss': [1.8430002927780151], 'val_acc': [0.6606950163841248]}
{'loss': [0.17279954254627228], 'acc': [0.9426484107971191], 'val_loss': [2.1476051807403564], 'val_acc': [0.6380253434181213]}
