{'loss': [1.3534761667251587], 'acc': [0.30507034063339233], 'val_loss': [1.321688175201416], 'val_acc': [0.2725871205329895]}
{'loss': [0.9251306653022766], 'acc': [0.5866936445236206], 'val_loss': [0.7697786092758179], 'val_acc': [0.6617482900619507]}
{'loss': [0.6801337003707886], 'acc': [0.7079111337661743], 'val_loss': [0.8463672399520874], 'val_acc': [0.6271513104438782]}
{'loss': [0.5911183953285217], 'acc': [0.7562404274940491], 'val_loss': [0.8576693534851074], 'val_acc': [0.6336910128593445]}
{'loss': [0.5326641201972961], 'acc': [0.7835662364959717], 'val_loss': [0.9134374260902405], 'val_acc': [0.6288371682167053]}
{'loss': [0.4856957495212555], 'acc': [0.8043835759162903], 'val_loss': [0.9431378245353699], 'val_acc': [0.6156867742538452]}
{'loss': [0.44702932238578796], 'acc': [0.8224449157714844], 'val_loss': [1.0066543817520142], 'val_acc': [0.6408244371414185]}
{'loss': [0.41021889448165894], 'acc': [0.8425605893135071], 'val_loss': [1.021295189857483], 'val_acc': [0.646300733089447]}
{'loss': [0.380033016204834], 'acc': [0.857524037361145], 'val_loss': [1.3017858266830444], 'val_acc': [0.6615846157073975]}
{'loss': [0.35304880142211914], 'acc': [0.8692591190338135], 'val_loss': [1.1721477508544922], 'val_acc': [0.6366562843322754]}
