{'loss': [0.6586152911186218], 'acc': [0.7120978236198425], 'val_loss': [0.8417243361473083], 'val_acc': [0.6168172359466553]}
{'loss': [0.609650731086731], 'acc': [0.7353423237800598], 'val_loss': [0.7967002391815186], 'val_acc': [0.6766743659973145]}
{'loss': [0.5452662110328674], 'acc': [0.7654394507408142], 'val_loss': [0.9491326808929443], 'val_acc': [0.601402997970581]}
{'loss': [0.5180824995040894], 'acc': [0.7800704836845398], 'val_loss': [0.8102766275405884], 'val_acc': [0.6698192954063416]}
{'loss': [0.4977307915687561], 'acc': [0.7894799709320068], 'val_loss': [0.8835819363594055], 'val_acc': [0.647946298122406]}
{'loss': [0.47685515880584717], 'acc': [0.8006938695907593], 'val_loss': [0.9078242778778076], 'val_acc': [0.6408571004867554]}
{'loss': [0.45848342776298523], 'acc': [0.809173583984375], 'val_loss': [0.860582709312439], 'val_acc': [0.6672362685203552]}
{'loss': [0.44454237818717957], 'acc': [0.8151240348815918], 'val_loss': [1.0154695510864258], 'val_acc': [0.6435237526893616]}
{'loss': [0.4345633387565613], 'acc': [0.8212404847145081], 'val_loss': [0.9391595721244812], 'val_acc': [0.6554104089736938]}
{'loss': [0.41175130009651184], 'acc': [0.8315938711166382], 'val_loss': [1.1063209772109985], 'val_acc': [0.63797926902771]}
{'loss': [0.4028981328010559], 'acc': [0.8356801867485046], 'val_loss': [0.8471059799194336], 'val_acc': [0.6923221945762634]}
{'loss': [0.3881332576274872], 'acc': [0.8431271910667419], 'val_loss': [1.3773630857467651], 'val_acc': [0.6383764743804932]}
{'loss': [0.39094775915145874], 'acc': [0.8422294855117798], 'val_loss': [0.9498494267463684], 'val_acc': [0.6865984201431274]}
{'loss': [0.36490824818611145], 'acc': [0.8537893891334534], 'val_loss': [0.9481237530708313], 'val_acc': [0.6648812294006348]}
{'loss': [0.35823318362236023], 'acc': [0.8569375872612], 'val_loss': [1.0321487188339233], 'val_acc': [0.6729801893234253]}
{'loss': [0.3572004735469818], 'acc': [0.8577688336372375], 'val_loss': [1.0084627866744995], 'val_acc': [0.6587386131286621]}
{'loss': [0.34314846992492676], 'acc': [0.8649959564208984], 'val_loss': [1.0425957441329956], 'val_acc': [0.6498842835426331]}
{'loss': [0.3528209924697876], 'acc': [0.8611699938774109], 'val_loss': [1.0665675401687622], 'val_acc': [0.6729375123977661]}
{'loss': [0.32129770517349243], 'acc': [0.8742573857307434], 'val_loss': [1.009839415550232], 'val_acc': [0.6806361079216003]}
{'loss': [0.319489985704422], 'acc': [0.8757613897323608], 'val_loss': [1.024188756942749], 'val_acc': [0.6621375679969788]}
