{'loss': [0.7088058590888977], 'acc': [0.8291209936141968], 'val_loss': [0.44160762429237366], 'val_acc': [0.885344386100769]}
{'loss': [0.4888179898262024], 'acc': [0.8483468294143677], 'val_loss': [0.38657012581825256], 'val_acc': [0.8992040753364563]}
{'loss': [4.547189712524414], 'acc': [0.7764120101928711], 'val_loss': [0.7644732594490051], 'val_acc': [0.7628511786460876]}
{'loss': [0.7748751044273376], 'acc': [0.7485259175300598], 'val_loss': [0.6531696319580078], 'val_acc': [0.8472104072570801]}
{'loss': [0.5849000215530396], 'acc': [0.8076032400131226], 'val_loss': [0.6487099528312683], 'val_acc': [0.5648685097694397]}
{'loss': [0.5261778235435486], 'acc': [0.821604311466217], 'val_loss': [0.8294660449028015], 'val_acc': [0.5554097294807434]}
{'loss': [0.4517941176891327], 'acc': [0.8515998125076294], 'val_loss': [0.30125242471694946], 'val_acc': [0.9146987199783325]}
{'loss': [0.5062888264656067], 'acc': [0.8509586453437805], 'val_loss': [0.31256407499313354], 'val_acc': [0.9081925749778748]}
{'loss': [0.4253051280975342], 'acc': [0.8514359593391418], 'val_loss': [0.3114362061023712], 'val_acc': [0.904464602470398]}
{'loss': [0.38472065329551697], 'acc': [0.8650183081626892], 'val_loss': [1.1302570104599], 'val_acc': [0.54599529504776]}
{'loss': [0.3924228250980377], 'acc': [0.8639428615570068], 'val_loss': [0.2829485833644867], 'val_acc': [0.9100208282470703]}
{'loss': [0.4679398238658905], 'acc': [0.8467651009559631], 'val_loss': [0.4510555565357208], 'val_acc': [0.8833504319190979]}
{'loss': [0.3989853858947754], 'acc': [0.864684522151947], 'val_loss': [0.3055810034275055], 'val_acc': [0.9091296195983887]}
{'loss': [0.5631258487701416], 'acc': [0.8362024426460266], 'val_loss': [0.31724458932876587], 'val_acc': [0.9093055725097656]}
{'loss': [0.45569631457328796], 'acc': [0.8471601009368896], 'val_loss': [0.7850868701934814], 'val_acc': [0.5456112027168274]}
{'loss': [0.403291791677475], 'acc': [0.8675169944763184], 'val_loss': [0.2923356592655182], 'val_acc': [0.916254997253418]}
{'loss': [0.9578681588172913], 'acc': [0.8265705704689026], 'val_loss': [0.9341400861740112], 'val_acc': [0.5611486434936523]}
{'loss': [0.4751318693161011], 'acc': [0.8420495986938477], 'val_loss': [0.34441298246383667], 'val_acc': [0.9072709679603577]}
{'loss': [0.6061930656433105], 'acc': [0.8009796738624573], 'val_loss': [0.41040515899658203], 'val_acc': [0.8914910554885864]}
{'loss': [1.9547109603881836], 'acc': [0.7938294410705566], 'val_loss': [0.5765582323074341], 'val_acc': [0.7830144762992859]}
{'loss': [0.7445734739303589], 'acc': [0.7698514461517334], 'val_loss': [1.1341311931610107], 'val_acc': [0.6202253103256226]}
{'loss': [0.8020836114883423], 'acc': [0.80364590883255], 'val_loss': [0.785032331943512], 'val_acc': [0.8466281890869141]}
{'loss': [0.6777299642562866], 'acc': [0.8197416067123413], 'val_loss': [0.6401159167289734], 'val_acc': [0.8546485304832458]}
{'loss': [0.5742610692977905], 'acc': [0.8333462476730347], 'val_loss': [0.45004117488861084], 'val_acc': [0.8872678279876709]}
{'loss': [0.47185274958610535], 'acc': [0.8533556461334229], 'val_loss': [0.42054247856140137], 'val_acc': [0.8931494355201721]}
{'loss': [0.5529623627662659], 'acc': [0.8072882890701294], 'val_loss': [0.4994525611400604], 'val_acc': [0.8725782036781311]}
{'loss': [0.6766390204429626], 'acc': [0.8458039164543152], 'val_loss': [0.7230376601219177], 'val_acc': [0.752372145652771]}
{'loss': [0.5773245692253113], 'acc': [0.8245965242385864], 'val_loss': [0.43747833371162415], 'val_acc': [0.8760273456573486]}
{'loss': [0.5125753283500671], 'acc': [0.8251791000366211], 'val_loss': [0.6615402102470398], 'val_acc': [0.5455612540245056]}
{'loss': [0.4427894353866577], 'acc': [0.847782552242279], 'val_loss': [0.4355567693710327], 'val_acc': [0.8998334407806396]}
{'loss': [0.38038206100463867], 'acc': [0.8696259260177612], 'val_loss': [0.3910920023918152], 'val_acc': [0.9014371037483215]}
{'loss': [0.592077374458313], 'acc': [0.782378613948822], 'val_loss': [0.6295143961906433], 'val_acc': [0.6157131195068359]}
{'loss': [0.7540786266326904], 'acc': [0.7230708599090576], 'val_loss': [0.6669396162033081], 'val_acc': [0.7185751795768738]}
{'loss': [0.6436300277709961], 'acc': [0.7687171101570129], 'val_loss': [0.46554332971572876], 'val_acc': [0.8717130422592163]}
{'loss': [0.42970389127731323], 'acc': [0.854769229888916], 'val_loss': [0.35214605927467346], 'val_acc': [0.8947868943214417]}
{'loss': [0.4997260272502899], 'acc': [0.8170034289360046], 'val_loss': [0.32670852541923523], 'val_acc': [0.908214271068573]}
{'loss': [0.434474915266037], 'acc': [0.83890700340271], 'val_loss': [0.37434446811676025], 'val_acc': [0.9046648144721985]}
{'loss': [0.3868557810783386], 'acc': [0.8582890629768372], 'val_loss': [0.2558840811252594], 'val_acc': [0.9162209630012512]}
{'loss': [0.37290123105049133], 'acc': [0.870485246181488], 'val_loss': [0.2984181344509125], 'val_acc': [0.904251217842102]}
{'loss': [0.3913377821445465], 'acc': [0.872264564037323], 'val_loss': [0.39931049942970276], 'val_acc': [0.8857965469360352]}
{'loss': [0.3587754964828491], 'acc': [0.8768072724342346], 'val_loss': [0.3729810416698456], 'val_acc': [0.8942835927009583]}
{'loss': [0.38500717282295227], 'acc': [0.8649436235427856], 'val_loss': [0.634556233882904], 'val_acc': [0.5591931939125061]}
{'loss': [0.7543215155601501], 'acc': [0.8176779747009277], 'val_loss': [0.34957730770111084], 'val_acc': [0.9018949866294861]}
{'loss': [0.4415050148963928], 'acc': [0.8640470504760742], 'val_loss': [0.44213661551475525], 'val_acc': [0.8900536298751831]}
{'loss': [0.45724979043006897], 'acc': [0.8520565629005432], 'val_loss': [0.3873719871044159], 'val_acc': [0.9011837244033813]}
{'loss': [0.4248400330543518], 'acc': [0.8640198111534119], 'val_loss': [0.360534131526947], 'val_acc': [0.9026992917060852]}
{'loss': [0.6271244883537292], 'acc': [0.8335204124450684], 'val_loss': [0.8569268584251404], 'val_acc': [0.5484916567802429]}
{'loss': [0.39601579308509827], 'acc': [0.8766672611236572], 'val_loss': [0.34897080063819885], 'val_acc': [0.9040429592132568]}
{'loss': [0.4467116594314575], 'acc': [0.8483613133430481], 'val_loss': [0.30713754892349243], 'val_acc': [0.9040505290031433]}
{'loss': [0.3756166994571686], 'acc': [0.8687340617179871], 'val_loss': [0.2950591742992401], 'val_acc': [0.9092656970024109]}
