{'loss': [1.381343126296997], 'acc': [0.3203933537006378], 'val_loss': [1.319779634475708], 'val_acc': [0.3536135256290436]}
{'loss': [1.2765655517578125], 'acc': [0.4104149639606476], 'val_loss': [1.1818491220474243], 'val_acc': [0.4924338459968567]}
{'loss': [1.1963080167770386], 'acc': [0.4823315739631653], 'val_loss': [1.0539050102233887], 'val_acc': [0.5621259212493896]}
{'loss': [1.1028751134872437], 'acc': [0.5263651609420776], 'val_loss': [1.0487343072891235], 'val_acc': [0.5243085026741028]}
{'loss': [1.0302923917770386], 'acc': [0.5588638186454773], 'val_loss': [1.3722476959228516], 'val_acc': [0.5067564249038696]}
{'loss': [0.9739660620689392], 'acc': [0.5812733769416809], 'val_loss': [1.014856219291687], 'val_acc': [0.5444455146789551]}
{'loss': [0.9481188058853149], 'acc': [0.5927460789680481], 'val_loss': [0.9776477217674255], 'val_acc': [0.5872209072113037]}
{'loss': [0.9074300527572632], 'acc': [0.6077693700790405], 'val_loss': [0.9313547611236572], 'val_acc': [0.6397032141685486]}
{'loss': [0.8840782046318054], 'acc': [0.618146538734436], 'val_loss': [0.9440162181854248], 'val_acc': [0.635699450969696]}
{'loss': [0.8489646315574646], 'acc': [0.6309319138526917], 'val_loss': [0.971377968788147], 'val_acc': [0.6235973834991455]}
{'loss': [0.8238067626953125], 'acc': [0.6398484110832214], 'val_loss': [0.9226930737495422], 'val_acc': [0.6183559894561768]}
{'loss': [0.8034321069717407], 'acc': [0.6448923349380493], 'val_loss': [0.944666862487793], 'val_acc': [0.6207003593444824]}
{'loss': [0.780215322971344], 'acc': [0.654586911201477], 'val_loss': [0.8625147342681885], 'val_acc': [0.6120235919952393]}
{'loss': [0.7542456984519958], 'acc': [0.6649972796440125], 'val_loss': [0.9473608136177063], 'val_acc': [0.611557126045227]}
{'loss': [0.7338448166847229], 'acc': [0.6740404963493347], 'val_loss': [0.8153917193412781], 'val_acc': [0.6309197545051575]}
{'loss': [0.7154433131217957], 'acc': [0.6839248538017273], 'val_loss': [1.0165681838989258], 'val_acc': [0.5786064863204956]}
{'loss': [0.6997629404067993], 'acc': [0.6916628479957581], 'val_loss': [0.8806036114692688], 'val_acc': [0.6197658777236938]}
{'loss': [0.6751794219017029], 'acc': [0.7040722370147705], 'val_loss': [0.8168691396713257], 'val_acc': [0.6545040607452393]}
{'loss': [0.6657251119613647], 'acc': [0.7075275182723999], 'val_loss': [0.8489302396774292], 'val_acc': [0.622439444065094]}
{'loss': [0.6521463990211487], 'acc': [0.7139023542404175], 'val_loss': [0.8560932278633118], 'val_acc': [0.6239354014396667]}
