{'loss': [1.6593787670135498], 'acc': [0.35129883885383606], 'val_loss': [1.201943278312683], 'val_acc': [0.4842812716960907]}
{'loss': [1.2275991439819336], 'acc': [0.46312156319618225], 'val_loss': [1.1448601484298706], 'val_acc': [0.49070003628730774]}
{'loss': [1.1469078063964844], 'acc': [0.49344107508659363], 'val_loss': [1.0542837381362915], 'val_acc': [0.5350803136825562]}
{'loss': [1.0966284275054932], 'acc': [0.5201142430305481], 'val_loss': [1.0546551942825317], 'val_acc': [0.5263933539390564]}
{'loss': [1.0244140625], 'acc': [0.5528833866119385], 'val_loss': [1.0855411291122437], 'val_acc': [0.5561807751655579]}
{'loss': [0.9667769074440002], 'acc': [0.5775536894798279], 'val_loss': [0.994096577167511], 'val_acc': [0.5668274760246277]}
{'loss': [0.940460205078125], 'acc': [0.5867221355438232], 'val_loss': [0.9846554398536682], 'val_acc': [0.59871506690979]}
{'loss': [0.9200048446655273], 'acc': [0.5951322317123413], 'val_loss': [0.9988871216773987], 'val_acc': [0.5572883486747742]}
{'loss': [0.8580427765846252], 'acc': [0.621780514717102], 'val_loss': [1.9084175825119019], 'val_acc': [0.40208324790000916]}
{'loss': [0.8312308192253113], 'acc': [0.6336360573768616], 'val_loss': [0.9989513158798218], 'val_acc': [0.5736255049705505]}
{'loss': [0.7926441431045532], 'acc': [0.6462361812591553], 'val_loss': [1.1014503240585327], 'val_acc': [0.5506163835525513]}
{'loss': [0.7648008465766907], 'acc': [0.6599518060684204], 'val_loss': [1.1003212928771973], 'val_acc': [0.5374084711074829]}
{'loss': [0.7536481618881226], 'acc': [0.6640798449516296], 'val_loss': [1.0637866258621216], 'val_acc': [0.5472963452339172]}
{'loss': [0.7246171236038208], 'acc': [0.6774858832359314], 'val_loss': [0.9536027908325195], 'val_acc': [0.5718430280685425]}
{'loss': [0.6998244524002075], 'acc': [0.6882625818252563], 'val_loss': [0.923399031162262], 'val_acc': [0.6160297989845276]}
{'loss': [0.6824958324432373], 'acc': [0.6967600584030151], 'val_loss': [1.1740052700042725], 'val_acc': [0.5617910623550415]}
{'loss': [0.6634209752082825], 'acc': [0.7052434086799622], 'val_loss': [1.3712936639785767], 'val_acc': [0.5346755385398865]}
{'loss': [0.6489378809928894], 'acc': [0.7106752395629883], 'val_loss': [1.0375326871871948], 'val_acc': [0.6201435327529907]}
{'loss': [0.6304739713668823], 'acc': [0.7180620431900024], 'val_loss': [1.0312739610671997], 'val_acc': [0.5986648201942444]}
{'loss': [0.6189747452735901], 'acc': [0.7252127528190613], 'val_loss': [0.9726372361183167], 'val_acc': [0.617495059967041]}
{'loss': [0.6098285913467407], 'acc': [0.7286549210548401], 'val_loss': [1.0541579723358154], 'val_acc': [0.5997343063354492]}
{'loss': [0.5956334471702576], 'acc': [0.736689567565918], 'val_loss': [1.2513847351074219], 'val_acc': [0.594749391078949]}
{'loss': [0.5840739011764526], 'acc': [0.7409342527389526], 'val_loss': [1.0298551321029663], 'val_acc': [0.6186264753341675]}
{'loss': [0.5798229575157166], 'acc': [0.7433425784111023], 'val_loss': [1.0558898448944092], 'val_acc': [0.59306401014328]}
{'loss': [0.5709726214408875], 'acc': [0.7472925186157227], 'val_loss': [0.9322062134742737], 'val_acc': [0.6265721321105957]}
{'loss': [0.555399477481842], 'acc': [0.7550877928733826], 'val_loss': [0.9503929615020752], 'val_acc': [0.627896785736084]}
{'loss': [0.551254391670227], 'acc': [0.7570146918296814], 'val_loss': [1.0659292936325073], 'val_acc': [0.606974720954895]}
{'loss': [0.5391445755958557], 'acc': [0.7629601359367371], 'val_loss': [0.9409365653991699], 'val_acc': [0.641814649105072]}
