{'loss': [1.090253233909607], 'acc': [0.5435360074043274], 'val_loss': [0.9777924418449402], 'val_acc': [0.5083802342414856]}
{'loss': [0.9253841638565063], 'acc': [0.607941746711731], 'val_loss': [0.8988353610038757], 'val_acc': [0.5909702777862549]}
{'loss': [0.8420219421386719], 'acc': [0.6454309225082397], 'val_loss': [0.885802686214447], 'val_acc': [0.6028863787651062]}
{'loss': [0.7795170545578003], 'acc': [0.6693100333213806], 'val_loss': [0.8237631916999817], 'val_acc': [0.6219109296798706]}
{'loss': [0.7457678914070129], 'acc': [0.6840646266937256], 'val_loss': [0.8660801649093628], 'val_acc': [0.5968199968338013]}
{'loss': [0.7170530557632446], 'acc': [0.6941484212875366], 'val_loss': [0.8492767214775085], 'val_acc': [0.6044120192527771]}
{'loss': [0.6814430952072144], 'acc': [0.7105004191398621], 'val_loss': [0.8296138644218445], 'val_acc': [0.6079052090644836]}
{'loss': [0.654327392578125], 'acc': [0.7227171063423157], 'val_loss': [0.772080659866333], 'val_acc': [0.6471654176712036]}
{'loss': [0.6377490758895874], 'acc': [0.7319554090499878], 'val_loss': [0.7826184630393982], 'val_acc': [0.6506358981132507]}
{'loss': [0.6092613935470581], 'acc': [0.7451256513595581], 'val_loss': [0.7871120572090149], 'val_acc': [0.655017077922821]}
{'loss': [0.5873550176620483], 'acc': [0.7552578449249268], 'val_loss': [0.8120383620262146], 'val_acc': [0.6399494409561157]}
{'loss': [0.5804529786109924], 'acc': [0.760249674320221], 'val_loss': [0.797515869140625], 'val_acc': [0.6432706713676453]}
{'loss': [0.5577529072761536], 'acc': [0.7697722315788269], 'val_loss': [0.8991007804870605], 'val_acc': [0.61972576379776]}
{'loss': [0.5448452830314636], 'acc': [0.7760085463523865], 'val_loss': [0.8968555927276611], 'val_acc': [0.6385955214500427]}
{'loss': [0.5244367718696594], 'acc': [0.7862513065338135], 'val_loss': [0.8226165771484375], 'val_acc': [0.6473818421363831]}
{'loss': [0.5309732556343079], 'acc': [0.7830081582069397], 'val_loss': [0.8228874206542969], 'val_acc': [0.6425910592079163]}
{'loss': [0.4966825246810913], 'acc': [0.7966562509536743], 'val_loss': [0.8374342918395996], 'val_acc': [0.652809739112854]}
{'loss': [0.5071954727172852], 'acc': [0.7924598455429077], 'val_loss': [0.9839343428611755], 'val_acc': [0.603074848651886]}
{'loss': [0.48981016874313354], 'acc': [0.8005583882331848], 'val_loss': [0.8323314189910889], 'val_acc': [0.6538569331169128]}
{'loss': [0.485666424036026], 'acc': [0.8020997047424316], 'val_loss': [1.094975233078003], 'val_acc': [0.570663332939148]}
{'loss': [0.4548770487308502], 'acc': [0.8162450194358826], 'val_loss': [0.9716076850891113], 'val_acc': [0.6036376357078552]}
