{'loss': [0.8498939275741577], 'acc': [0.6226314306259155], 'val_loss': [1.0152889490127563], 'val_acc': [0.558687686920166]}
{'loss': [0.7841070890426636], 'acc': [0.6469744443893433], 'val_loss': [1.1016840934753418], 'val_acc': [0.5266414880752563]}
{'loss': [0.7326338291168213], 'acc': [0.6723705530166626], 'val_loss': [0.9150243997573853], 'val_acc': [0.6009713411331177]}
{'loss': [0.7093986868858337], 'acc': [0.6826956272125244], 'val_loss': [0.9576905965805054], 'val_acc': [0.5965687036514282]}
{'loss': [0.6816582083702087], 'acc': [0.6971266269683838], 'val_loss': [1.0119272470474243], 'val_acc': [0.5977429747581482]}
{'loss': [0.6581870317459106], 'acc': [0.7059353590011597], 'val_loss': [1.0910016298294067], 'val_acc': [0.5444095730781555]}
{'loss': [0.6389865279197693], 'acc': [0.7167580127716064], 'val_loss': [1.0922932624816895], 'val_acc': [0.5388666987419128]}
{'loss': [0.6270849704742432], 'acc': [0.7221534252166748], 'val_loss': [0.8481156229972839], 'val_acc': [0.6540732383728027]}
{'loss': [0.6205944418907166], 'acc': [0.7262650728225708], 'val_loss': [0.965741753578186], 'val_acc': [0.6327894330024719]}
{'loss': [0.5929734110832214], 'acc': [0.7381618022918701], 'val_loss': [1.1232331991195679], 'val_acc': [0.5773813724517822]}
{'loss': [0.6131423115730286], 'acc': [0.7316108345985413], 'val_loss': [1.41286039352417], 'val_acc': [0.5184166431427002]}
{'loss': [0.5759992003440857], 'acc': [0.7465622425079346], 'val_loss': [0.839762806892395], 'val_acc': [0.6616851091384888]}
{'loss': [0.5597764253616333], 'acc': [0.7533395290374756], 'val_loss': [0.8390730023384094], 'val_acc': [0.6810667514801025]}
{'loss': [0.5575563311576843], 'acc': [0.755271852016449], 'val_loss': [1.152198314666748], 'val_acc': [0.580219030380249]}
{'loss': [0.5524908304214478], 'acc': [0.7574998140335083], 'val_loss': [0.968475341796875], 'val_acc': [0.5793889760971069]}
{'loss': [0.5456675887107849], 'acc': [0.7604838609695435], 'val_loss': [0.9013866186141968], 'val_acc': [0.5741798877716064]}
