{'loss': [0.8800290822982788], 'acc': [0.6033334732055664], 'val_loss': [0.8351324796676636], 'val_acc': [0.6199946999549866]}
{'loss': [0.6060144305229187], 'acc': [0.737695038318634], 'val_loss': [0.7688780426979065], 'val_acc': [0.6880649328231812]}
{'loss': [0.4791310131549835], 'acc': [0.8003928661346436], 'val_loss': [0.9321867823600769], 'val_acc': [0.6653096079826355]}
{'loss': [0.38576844334602356], 'acc': [0.8454437255859375], 'val_loss': [0.989323616027832], 'val_acc': [0.6684991717338562]}
{'loss': [0.31946253776550293], 'acc': [0.8756179809570312], 'val_loss': [1.0344589948654175], 'val_acc': [0.6781395673751831]}
{'loss': [0.273728609085083], 'acc': [0.8948507905006409], 'val_loss': [1.1110893487930298], 'val_acc': [0.6842942237854004]}
{'loss': [0.23939919471740723], 'acc': [0.9094583988189697], 'val_loss': [1.1855391263961792], 'val_acc': [0.6762234568595886]}
{'loss': [0.2120359092950821], 'acc': [0.9203771352767944], 'val_loss': [1.2680975198745728], 'val_acc': [0.6728881597518921]}
{'loss': [0.19082167744636536], 'acc': [0.9293049573898315], 'val_loss': [1.431530237197876], 'val_acc': [0.6592146754264832]}
{'loss': [0.17292533814907074], 'acc': [0.9364190697669983], 'val_loss': [1.4740662574768066], 'val_acc': [0.6552971005439758]}
