{'loss': [0.8145397901535034], 'acc': [0.6486093401908875], 'val_loss': [0.8795125484466553], 'val_acc': [0.6438576579093933]}
{'loss': [0.7526730895042419], 'acc': [0.6744036078453064], 'val_loss': [0.7884052395820618], 'val_acc': [0.6449593901634216]}
{'loss': [0.7278413772583008], 'acc': [0.6865126490592957], 'val_loss': [0.7928851246833801], 'val_acc': [0.6349796056747437]}
{'loss': [0.6995415687561035], 'acc': [0.6989420056343079], 'val_loss': [0.76628577709198], 'val_acc': [0.6667987108230591]}
{'loss': [0.6743438839912415], 'acc': [0.7090915441513062], 'val_loss': [0.7542483806610107], 'val_acc': [0.654492199420929]}
{'loss': [0.6608380079269409], 'acc': [0.7165493369102478], 'val_loss': [0.8218653202056885], 'val_acc': [0.6320140361785889]}
{'loss': [0.6420594453811646], 'acc': [0.7234421968460083], 'val_loss': [0.7201172113418579], 'val_acc': [0.6780380606651306]}
{'loss': [0.6329928040504456], 'acc': [0.7301324009895325], 'val_loss': [0.8373295664787292], 'val_acc': [0.6153659820556641]}
{'loss': [0.6160206198692322], 'acc': [0.7360819578170776], 'val_loss': [0.7722941040992737], 'val_acc': [0.6587076187133789]}
